X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	Rho	KR	Rho_real
2000	-9000	0.2	-3.80E-05	-2.54E-06	0.0198822	-0.0172021	-0.0125876	0.0119962	3.06E-05	4.47E-06	11.5799	1.388247508	8.34138
3000	-9000	0.2	-9.70E-06	-2.93E-06	0.00606698	-0.00476991	-0.0107252	0.00750197	3.41E-05	3.46E-06	2.55864	0.307099203	8.33164
4000	-9000	0.2	-3.60E-05	-8.06E-06	0.0134857	-0.0124593	-0.0129715	0.0123971	5.19E-05	9.83E-06	8.34472	1.001983622	8.3282
5000	-9000	0.2	-2.85E-05	-6.61E-06	0.0130644	-0.0123671	-0.013171	0.0124707	5.84E-05	-3.62E-06	8.26524	0.992812081	8.32508
6000	-9000	0.2	-1.45E-05	-6.61E-05	0.0187685	-0.0185427	-0.0188152	0.0184751	0.000121282	-4.33E-05	17.6228	2.117707567	8.32164
7000	-9000	0.2	3.68E-06	-4.22E-05	0.0186126	-0.0185772	-0.0243917	0.0237982	-0.000122586	-0.000106102	22.6998	2.727007341	8.32407
8000	-9000	0.2	-2.12E-05	-6.42E-06	0.012937	-0.0123352	-0.0132306	0.0124386	1.45E-05	1.40E-05	8.22235	0.987776456	8.3241
9000	-9000	0.2	-2.07E-05	-1.23E-05	0.0176533	-0.0173085	-0.0224216	0.0216454	3.13E-05	-9.10E-06	19.5167	2.345551412	8.32073
-9000	-7500	0.2	9.19E-06	-2.94E-06	0.00870971	-0.00816635	-0.0109612	0.00997982	-1.44E-05	3.07E-06	4.48311	0.538785473	8.32077
-8000	-7500	0.2	4.41E-05	3.72E-06	0.0132334	-0.0124559	-0.0131775	0.0124318	-3.59E-05	4.54E-06	8.33952	1.002248579	8.32081
-7000	-7500	0.2	3.17E-05	7.24E-06	0.0131924	-0.0124366	-0.013174	0.0124547	-3.51E-05	-3.24E-07	8.32582	1.000479462	8.32183
